SampleID	MeanReadLength	MeanReadQuality	MedianReadLength	MedianReadQuality	NumReads	ReadLengthN50	TotalBases	MaxReadLength
2436A_run3	2853.3	14.3	1127.0	16.2	28315810.0	7217.0	80792877398.0	744646
2436A_run5	2751.8	14.3	962.0	16.1	35965710.0	7947.0	98971403438.0	866944
3188	3149.5	13.6	1662.0	15.6	9447610.0	6031.0	29755703771.0	360440
3188_run6	2807.4	14.3	1139.0	16.2	26094461.0	6949.0	73256856075.0	467064
3988	3001.9	13.8	1155.0	15.6	29302691.0	7822.0	87963611558.0	450767
6265D	2219.8	13.5	986.0	15.2	19829040.0	4798.0	44015910757.0	345757
6265D_run6	2340.5	14.0	1049.0	15.8	32287023.0	5133.0	75569017907.0	354542
6266D	5166.3	14.0	2136.0	15.8	13998283.0	11990.0	72319377548.0	561962
6269C	4085.1	14.0	1763.0	15.8	8095870.0	9276.0	33072671422.0	489083
6269C_run6	4303.5	13.8	2445.0	15.6	13857168.0	8312.0	59634289669.0	315481
6277A	3818.2	14.0	1548.0	16.0	23488287.0	9804.0	89683741887.0	425112
6285B	2848.9	14.0	1091.0	15.8	27740446.0	7533.0	79030518407.0	588681
6298B	2953.5	13.7	1201.0	15.4	29468720.0	7363.0	87036012899.0	588752
6314E	3596.6	13.8	1756.0	15.4	13987476.0	7516.0	50307057674.0	275660
6324B	2340.9	14.0	1020.0	15.7	41710205.0	5283.0	97638780448.0	382148
6365A	5112.7	15.2	2544.0	17.3	17247920.0	10747.0	88183691810.0	541124
6414C	2166.6	14.1	970.0	15.8	43215830.0	4717.0	93629616398.0	763267
6423A	4362.3	14.2	1959.0	16.1	14910963.0	9690.0	65046834875.0	282067
6436B	2423.2	13.9	1039.0	15.7	31267112.0	5722.0	75767950688.0	446945
6439C	3317.2	14.5	1089.0	16.4	31068094.0	10148.0	103059316294.0	642803
6478A	2760.8	14.6	1088.0	16.4	33037808.0	6942.0	91209724111.0	369202
6483C	3379.1	14.7	1353.0	16.6	21624554.0	8620.0	73071640137.0	636020
6500D	3259.1	14.7	1292.0	16.7	30194916.0	8170.0	98408517930.0	659661
6605D	2308.9	13.5	1003.0	15.1	36909392.0	5336.0	85219772463.0	622260
