chr	max_TL_p75
chr10p	5902
chr10q	2663
chr11p	8921
chr11q	3010
chr12p	2065
chr12q	4313
chr13p	3444
chr13q	4830
chr14p	9661
chr14q	2917
chr15p	9926
chr15q	2984
chr15q,chr3q	4045
chr16p	7032
chr16p,chr16q	90
chr16p,chr9q	3350
chr16q	2990
chr17p	5475
chr17q	1617
chr18p	5917
chr18q	3824
chr19p	5136
chr19q	2683
chr1p	8725
chr1q	4154
chr20p	4750
chr20q	5695
chr21p,chr13p	1765
chr21q	3982
chr22p	7274
chr22p,chr21p	7048
chr22q	2168
chr2p	6212
chr2q	3461
chr3p	5804
chr3q	3047
chr4p	4515
chr4q	3966
chr5p	7037
chr5q	7240
chr6p	3779
chr6q	6206
chr7p	2112
chr7q	6511
chr8p	6460
chr8q	6931
chr9p	1671
chr9q	1939
chrXp	1627
chrXp,chrYp	7686
chrXq,chrYq	1845
chrYq	2032
