"Sample_prefix","Spearman_rho","n"
"2436A",-0.0744571103952845,43
"3188",0.1565827257308,42
"3988",-0.0193269711144649,42
"6265D",0.148410029556161,42
"6266D",-0.06279238809008,42
"6269C",0.186196689866048,41
"6277A",-0.0335643002483268,41
"6285B",0.0157865878094162,42
"6298B",0.0928205182450447,43
"6314E",NA,35
"6324B",-0.240535117721182,41
"6365A",-0.261116483933547,43
"6414C",-0.123526291725265,39
"6423A",0.161058092620541,42
"6436B",NA,43
"6439C",-0.0450980931360347,42
"6478A",-0.136775301108048,43
"6483C",-0.118708507473766,40
"6500D",0.236248247368447,43
"6605D",NA,42
