"Sample_prefix","chr","final_average_TL_p75","chr_order","arm"
"2436A","chr1p",5221,1,"p"
"2436A","chr1q",5051.16666666667,1,"q"
"3188","chr1p",1642.5,1,"p"
"3188","chr1q",3086.5,1,"q"
"3988","chr1p",2347.5,1,"p"
"3988","chr1q",5083,1,"q"
"6265D","chr1p",6548,1,"p"
"6265D","chr1q",3906.33333333333,1,"q"
"6266D","chr1p",4224,1,"p"
"6266D","chr1q",4338.5,1,"q"
"6269C","chr1p",4019,1,"p"
"6269C","chr1q",4756.8,1,"q"
"6277A","chr1p",5311,1,"p"
"6277A","chr1q",4704.75,1,"q"
"6285B","chr1p",3171,1,"p"
"6285B","chr1q",3898,1,"q"
"6298B","chr1p",4198,1,"p"
"6298B","chr1q",6419.25,1,"q"
"6314E","chr1p",3903,1,"p"
"6324B","chr1p",8373,1,"p"
"6324B","chr1q",4714,1,"q"
"6365A","chr1p",4965,1,"p"
"6365A","chr1q",4419.25,1,"q"
"6414C","chr1p",3577.66666666667,1,"p"
"6414C","chr1q",2859,1,"q"
"6423A","chr1p",3424.5,1,"p"
"6423A","chr1q",6019.5,1,"q"
"6436B","chr1p",10227,1,"p"
"6436B","chr1q",3299.33333333333,1,"q"
"6439C","chr1p",3435.75,1,"p"
"6439C","chr1q",3943.5,1,"q"
"6478A","chr1p",7364.25,1,"p"
"6478A","chr1q",8899.33333333333,1,"q"
"6483C","chr1p",7570,1,"p"
"6483C","chr1q",5543,1,"q"
"6500D","chr1p",4352,1,"p"
"6500D","chr1q",5630,1,"q"
"6605D","chr1p",6389,1,"p"
"6605D","chr1q",3099.75,1,"q"
"2436A","chr2p",4118.25,2,"p"
"2436A","chr2q",6963,2,"q"
"3188","chr2p",3439.25,2,"p"
"3188","chr2q",1928,2,"q"
"3988","chr2p",3395,2,"p"
"6265D","chr2p",4845.375,2,"p"
"6265D","chr2q",5738,2,"q"
"6266D","chr2p",4472.5,2,"p"
"6266D","chr2q",4364.75,2,"q"
"6269C","chr2p",6108.25,2,"p"
"6269C","chr2q",3223,2,"q"
"6277A","chr2p",4544.25,2,"p"
"6277A","chr2q",5423.5,2,"q"
"6285B","chr2p",3231.5,2,"p"
"6285B","chr2q",3298,2,"q"
"6298B","chr2p",4919.5,2,"p"
"6314E","chr2p",5538,2,"p"
"6314E","chr2q",3171,2,"q"
"6324B","chr2p",8341,2,"p"
"6324B","chr2q",6927,2,"q"
"6365A","chr2p",3297.75,2,"p"
"6365A","chr2q",7584.5,2,"q"
"6414C","chr2p",4373.5,2,"p"
"6414C","chr2q",6082,2,"q"
"6423A","chr2p",8609,2,"p"
"6423A","chr2q",5884,2,"q"
"6436B","chr2p",5830.5,2,"p"
"6439C","chr2p",5902.5,2,"p"
