Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
2436A	chr1p	5221	1	p	5.221	Negative	Other
2436A	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	Other
3188	chr1p	1642.5	1	p	1.6425	Negative	Short TL
3188	chr1q	3086.5	1	q	3.0865	Negative	Short TL
3988	chr1p	2347.5	1	p	2.3475	Negative	Other
3988	chr1q	5083	1	q	5.083	Negative	Other
6265D	chr1p	6548	1	p	6.548	Negative	Other
6265D	chr1q	3906.33333333333	1	q	3.90633333333333	Negative	Other
6266D	chr1p	4224	1	p	4.224	Negative	Other
6266D	chr1q	4338.5	1	q	4.3385	Negative	Other
6269C	chr1p	4019	1	p	4.019	Negative	Short TL
6269C	chr1q	4756.8	1	q	4.7568	Negative	Short TL
6277A	chr1p	5311	1	p	5.311	Negative	Other
6277A	chr1q	4704.75	1	q	4.70475	Negative	Other
6285B	chr1p	3171	1	p	3.171	Negative	Short TL
6285B	chr1q	3898	1	q	3.898	Negative	Short TL
6298B	chr1p	4198	1	p	4.198	Negative	Other
6298B	chr1q	6419.25	1	q	6.41925	Negative	Other
6314E	chr1p	3903	1	p	3.903	Negative	Other
6324B	chr1p	8373	1	p	8.373	Negative	Other
6324B	chr1q	4714	1	q	4.714	Negative	Other
6365A	chr1p	4965	1	p	4.965	Negative	Other
6365A	chr1q	4419.25	1	q	4.41925	Negative	Other
6414C	chr1p	3577.66666666667	1	p	3.57766666666667	Negative	Short TL
6414C	chr1q	2859	1	q	2.859	Negative	Short TL
6423A	chr1p	3424.5	1	p	3.4245	Negative	Other
6423A	chr1q	6019.5	1	q	6.0195	Negative	Other
6436B	chr1p	10227	1	p	10.227	Negative	Other
6436B	chr1q	3299.33333333333	1	q	3.29933333333333	Negative	Other
6439C	chr1p	3435.75	1	p	3.43575	Negative	Other
6439C	chr1q	3943.5	1	q	3.9435	Negative	Other
6478A	chr1p	7364.25	1	p	7.36425	Negative	Other
6478A	chr1q	8899.33333333333	1	q	8.89933333333333	Negative	Other
6483C	chr1p	7570	1	p	7.57	Negative	Other
6483C	chr1q	5543	1	q	5.543	Negative	Other
6500D	chr1p	4352	1	p	4.352	Negative	Other
6500D	chr1q	5630	1	q	5.63	Negative	Other
6605D	chr1p	6389	1	p	6.389	Negative	Other
6605D	chr1q	3099.75	1	q	3.09975	Negative	Other
2436A	chr2p	4118.25	2	p	4.11825	Negative	Other
