Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction.x	chr_arm	median_TL	mad_TL	norm_TL	direction.y	direction
2436A	chr1p	5221	1	p	5.221	Negative	chr1p	5303	1180.08333333333	-0.0694866181766826	Negative	Neutral
2436A	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	chr1q	5303	1180.08333333333	-0.213403008262126	Negative	Negative
3188	chr1p	1642.5	1	p	1.6425	Negative	chr1p	2824.125	399.5	-2.95775969962453	Negative	Neutral
3188	chr1q	3086.5	1	q	3.0865	Negative	chr1q	2824.125	399.5	0.656758448060075	Negative	Negative
3988	chr1p	2347.5	1	p	2.3475	Negative	chr1p	5689.5	1319.25	-2.53325753268903	Negative	Neutral
3988	chr1q	5083	1	q	5.083	Negative	chr1q	5689.5	1319.25	-0.459730907712716	Negative	Negative
6265D	chr1p	6548	1	p	6.548	Negative	chr1p	5717	1149.5625	0.722883705757625	Negative	Neutral
6265D	chr1q	3906.33333333333	1	q	3.90633333333333	Negative	chr1q	5717	1149.5625	-1.57509197339568	Negative	Negative
6266D	chr1p	4224	1	p	4.224	Negative	chr1p	4866	845.25	-0.759538598047915	Negative	Neutral
6266D	chr1q	4338.5	1	q	4.3385	Negative	chr1q	4866	845.25	-0.624075717243419	Negative	Negative
6269C	chr1p	4019	1	p	4.019	Negative	chr1p	4756.8	934.825	-0.789238627550611	Negative	Neutral
6269C	chr1q	4756.8	1	q	4.7568	Negative	chr1q	4756.8	934.825	0	Negative	Negative
6277A	chr1p	5311	1	p	5.311	Negative	chr1p	5226.83333333333	1114.33333333333	0.0755309602153783	Negative	Neutral
6277A	chr1q	4704.75	1	q	4.70475	Negative	chr1q	5226.83333333333	1114.33333333333	-0.468516302722104	Negative	Negative
6285B	chr1p	3171	1	p	3.171	Negative	chr1p	3274.75	322	-0.322204968944099	Negative	Neutral
6285B	chr1q	3898	1	q	3.898	Negative	chr1q	3274.75	322	1.93555900621118	Negative	Negative
6298B	chr1p	4198	1	p	4.198	Negative	chr1p	5124.5	926.5	-1	Negative	Neutral
6298B	chr1q	6419.25	1	q	6.41925	Negative	chr1q	5124.5	926.5	1.397463572585	Negative	Negative
6314E	chr1p	3903	1	p	3.903	Negative	chr1p	4374.5	1163.5	-0.405242801890847	Negative	Neutral
6324B	chr1p	8373	1	p	8.373	Negative	chr1p	5251.5	871.5	3.58175559380379	Negative	Neutral
6324B	chr1q	4714	1	q	4.714	Negative	chr1q	5251.5	871.5	-0.61675272518646	Negative	Negative
6365A	chr1p	4965	1	p	4.965	Negative	chr1p	4419.25	882.65	0.618308502804056	Negative	Neutral
6365A	chr1q	4419.25	1	q	4.41925	Negative	chr1q	4419.25	882.65	0	Negative	Negative
6414C	chr1p	3577.66666666667	1	p	3.57766666666667	Negative	chr1p	3494	384	0.217881944444454	Negative	Neutral
6414C	chr1q	2859	1	q	2.859	Negative	chr1q	3494	384	-1.65364583333333	Negative	Negative
