chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13p	chr13q	chr14p	chr14q	chr15p	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22q	chr22p
2436A	1.03403621797679	1.0004001678549	0.815632954354131	1.37904504611615	0.938614143695768	0.8076712121663	1.14638194573916	0.836560585146358	1.29640731159195	2.08791902588075	0.801818737498379	1.16790609417339	0.92774761994687	1.28399597219467	0.943674405210671	1.26879538232113	0.869371413233854	0.702346473472552	0.715318963853222	0.541230123477509	1.34002854833001	1.05027658761366	1.05352466154103	1.20515425902869	1.57893740061873	1.08018263414009	1.89378554228961	0.691324807981189	0.925725825962606	0.814296094658413	1.37452943114394	1.18416061047371	1.58229723318733	0.911342205903123	0.448755742303341	0.71883440971974	1.25164726844643	0.900053168472616	1.13030992139731	0.867156517293541	1.3062769671233	1.87806011120221	1.4002565532882	NA
3188	0.325302525958031	0.611291474197542	0.68115477162932	0.381846739754693	0.572473029699658	0.467564202911245	0.506587302473657	0.814890254523177	0.729034154064847	0.42739899605323	0.536229277949083	0.444893703182378	0.319856060531032	0.470525099570649	0.442970935842241	0.655094259783164	0.559005406098351	0.619847376250136	0.423041823711631	0.69249332238189	0.525088780484767	0.652189478222098	0.489884808497528	0.532961398692883	0.8378644359607	0.686254643801873	NA	0.52008793495634	NA	0.37115186218895	0.585841626656837	0.573859402717439	0.466019387262859	0.559649079285178	0.440866619654537	0.569254663765522	0.617959268235444	0.585775608894086	0.57905830153412	0.568066344035995	0.586930919742237	0.73398548627121	0.529990599369066	0.520444430875198
3988	0.46493009417746	1.00670486419767	0.672390913624058	NA	1.98795988085463	0.422886210413717	0.832219917245446	1.13573658149548	1.12665913911715	1.21301037279612	0.564501384847414	NA	1.03383816468854	1.05582207968479	0.915897431532976	0.921938056824739	1.32702304906796	1.79901704385983	0.746611383397435	1.18802264959467	0.710417144968923	0.991916885341331	1.60522190130279	0.86994906865793	1.6404753866121	1.16362908625799	1.02556943990391	1.12698922793091	1.1408859669901	0.802908030583779	1.19693504756612	1.53241751254044	0.909856806241214	1.20158929984011	0.86885977557253	1.19663796763374	0.406157780887934	1.45103741639666	0.642484867097627	1.39142337663205	1.66463788777915	1.79050075246489	1.43631545530307	1.65532938323119
6265D	1.29685293149052	0.773662161684862	0.959642451576191	1.13642976800437	1.0555249997524	0.914511058515195	NA	1.0008127788721	1.4014250676889	NA	1.51892018094589	1.77752826208422	1.03368962472235	1.53996334282293	0.862835654721455	1.65166539739848	0.674701535320361	1.3243823385579	0.954220742810224	0.912976145531222	0.976996870959492	0.805878829907597	1.36993459485644	1.48262691587325	0.749928775975698	2.3279183501435	1.55263875327122	1.25347926136279	0.865492869672204	1.18257618416767	1.888636156795	0.947189851077189	0.688664292142304	0.934811520561282	1.17023086253314	1.18019954470862	0.792213153018035	1.29823930450831	1.10137433598332	0.896215886012684	2.08646663510022	1.26556051194631	1.59581437011071	1.12811152989768
6266D	0.836577089587045	0.859254191092187	0.885793331718291	0.864453089908867	2.54092466166122	1.10157238927158	1.36894432841517	NA	0.828952037989247	0.667835687994204	0.949739787163465	0.670113300809131	0.964519513799458	1.23605057199639	0.42452722337354	0.847271967152789	0.873514027846511	0.962935087493422	1.17802095853782	1.03304595153552	0.928127222082692	1.24159606406752	0.810533082181577	0.46166221492126	1.39627568219429	1.4912752427937	0.73056906704882	1.03081785204265	1.52718890573052	NA	1.02651019302312	2.37673848569823	0.832021863957192	1.61472845913901	1.7196967019139	1.04486313106804	0.982634316343023	1.04393888238952	0.723191582061339	0.379470100295639	0.943723918532735	1.44044156547504	1.71910254204914	0.782112435317055
6269C	0.795976165494871	0.942099881569048	1.2097589979806	0.638325748044282	1.8163467065821	0.88373852885265	0.704970679541924	0.918224557669967	1.17495113256987	0.609608021247378	1.37904504611615	NA	1.48104248956722	0.795382005630108	0.910153886173595	0.850341793120734	0.77438835707513	1.12724504676157	0.748344349669662	1.27219529710284	NA	0.775180570228148	0.800762453294356	0.974174611601865	1.1728715730432	1.03364011140028	1.010071770098	0.403830654750944	1.34115085029678	0.621590245186776	0.986057808897136	0.865245303061886	1.0675072236918	1.14400530628011	1.17604042565527	1.02705483956582	NA	1.04809800144286	0.658972803344815	1.09949282974491	0.754682054893806	0.541675743376082	0.788054033964691	1.18742848972991
6277A	1.0518610139197	0.9317912079154	0.900003655150552	1.07414200884833	1.00965585819266	1.20198540641661	0.814494147946668	0.869552962081421	1.03519152882494	1.7810932212728	0.760458609134563	1.48124054285547	1.26823423133775	1.15029349818219	0.790826780000254	1.01175522304816	0.943773431854798	1.25252200380289	NA	NA	0.595942344357817	0.508848410847897	1.31482626739962	1.32755119116997	0.915798404888849	1.42070225441234	1.87477242661718	0.675163659659621	1.38018385252361	1.39865232165334	0.849153473391207	0.0370359649035932	0.915204245024085	1.22278100168334	1.32066883940313	1.45588972195889	1.23723889172592	0.538011757543373	1.59442799709292	0.696058281570471	0.837567356028318	0.886684571515436	1.06884408338752	NA
6285B	0.628026977055048	0.772011717616076	0.640009200994445	0.65317974466337	0.591189065439709	0.406058754243807	0.605597442160224	0.607330408432451	0.639316014485555	0.643970266759536	0.685858537225364	0.795877138850744	0.667439581417695	0.787855980676436	0.663775595584986	0.639811147706191	0.704871652897797	0.630997776378865	0.861531803907113	0.655160277545915	NA	0.582078614180002	0.619213605727722	0.724082821858484	0.978977403842037	0.990167414628417	NA	0.821921146256212	0.803502190448542	0.816441671947836	0.769238971580512	0.622778564916303	0.483250023341002	0.409178093533815	0.580461178992589	0.834893636636882	0.663214444601599	0.392607635083187	0.623917371323767	0.481071437170202	0.671499673826912	0.587525079607001	0.534644851643047	0.828902524667183
6298B	0.831427704092428	1.27135357062776	0.974323151568056	NA	1.18406158382958	1.35557573145799	0.938178426461608	1.18435866376196	2.12580496947977	0.732401059965174	0.325005446025649	0.820633799882557	1.18297229074418	0.776071810025293	0.922136110112993	1.158710762933	0.856382418412496	0.807859362790142	0.946991797788934	1.1837645038972	0.707446345645106	1.45519653545	0.775576676804657	1.06126854511179	0.849797146578034	1.01492407566023	0.933029040966991	1.40063285453589	0.82380265249463	0.664864888670386	1.07325076905118	1.30957785526088	0.746858950007753	1.1576214698476	0.749433642755062	1.16996679148213	1.38518469805204	0.91144123254725	1.09058043177345	0.542401938766349	1.24347757030593	1.52778306559528	1.10404805537476	1.14118304692248
6314E	0.773001984057348	NA	1.09681911035347	0.628026977055048	0.380658420025166	0.676451006033275	1.63750458728828	NA	1.82803185058912	0.28024540288013	0.756563561132224	0.958181808575314	0.395809496576636	1.09166972485885	NA	1.02888683248217	0.680709151730747	0.392888210574882	1.89596412846041	0.854203832241697	NA	1.31903489977503	NA	1.76841781082451	0.820336719950176	0.680511098442492	NA	0.960756501322622	0.43967829992501	NA	1.15781952313586	NA	1.4508393631084	0.607759523890337	0.697444654588253	0.980561830148073	0.312775655475933	1.28328628124509	1.3022003702734	NA	1.00700194413005	0.879950759714783	0.866384109469349	0.708832718662887
6324B	1.658300182555	0.933623200831755	1.65196247733086	1.37191512773898	0.782904648470073	1.01343867599832	0.900746354981506	1.07008191643911	0.875197480796675	2.18165599676754	1.03760117716537	0.84182550172579	0.622283431695667	0.7862715543704	1.6295824557581	1.07127023616864	1.12329223321682	NA	1.11355461321098	0.883911825479873	2.22641603991306	1.47024858535735	0.741610537869008	0.660309663040533	1.06404129114735	NA	1.17485210592575	1.04086905642157	1.25328120807453	1.50995826965238	1.30985843075257	0.817365920626358	1.26575856523457	0.953428529657206	1.16564262802191	1.01135911647165	0.0370359649035932	1.04007684326855	0.45987973532697	0.992841134019853	0.982740416318873	0.867473402554749	1.14316357980503	NA
6365A	0.983334576183637	0.875246994118738	0.653130231341307	1.50213516476632	0.759402324930538	0.700435259240896	1.38320416516949	0.861185210652668	0.701108640420961	1.0518610139197	0.371448942121331	0.957785701998805	1.33973146839763	1.46346526023463	0.428389262494503	0.863512336789659	0.82667442517432	0.295792586008109	0.693318544416285	0.896933829182607	NA	0.84237014826849	1.361814410038	0.888566077753854	0.70810652327262	1.25338023471866	0.744284257260444	0.936098866934936	0.566036297831386	0.647188632693671	0.918224557669967	0.894903782977998	0.763495426221132	1.08581064841466	1.02611408644661	0.489488701921019	0.658131076869733	1.04988048103715	1.10216654913634	0.687492476853464	1.17683263880829	0.918505133161661	1.07334979569531	0.71533546829391
6414C	0.708568647611882	0.566234351119641	0.866186056181094	1.20456009916392	1.45990030104605	0.651892398289716	0.674850075286552	NA	0.653971957816388	1.01294354277769	1.22793038717795	1.01581531545738	0.967094206546767	0.575542855667603	0.691998189161254	0.565343111322495	0.672390913624058	NA	0.676946139253911	0.620897058677885	NA	0.701405720353343	0.752899575299515	0.64867403235558	0.768050651850985	0.635255922076337	NA	0.583993129299796	1.00601167768878	0.558708326165969	0.650208945339553	0.916788671330122	0.93055337486381	0.681204284951383	0.844301167828971	0.80429440360156	0.814632785248446	NA	0.659055325548255	0.684818757462028	0.76032657360906	0.637335481603009	0.664765862026259	0.907975300002796
6423A	0.678233485627566	1.19218176864802	1.70504075858307	1.16534554808953	0.701306693709216	0.642658163724849	1.29190159928416	0.870048095302057	1.92230521579826	0.760029493676678	1.3483467864367	1.08513396634645	NA	0.84687586057628	1.10285973564523	0.509789163967106	0.79855085824218	0.963331194069931	0.783300755046582	0.968876686141057	1.26575856523457	0.648575005711453	0.96263800756104	1.15425456394728	0.69249332238189	0.742204697733772	0.60267615615847	0.869751015369676	NA	1.03938365675966	0.830305402125652	0.778943582704983	1.14752075214662	1.52624815261131	0.827466638327338	0.603699431481119	2.19621291345425	0.542666009817354	1.1029092489673	0.738293145290745	1.88744783706547	0.578711708279675	0.719428569584503	1.15207597777648
