"Sample","Chr_Arm","SV_Type","SV_Count","SV_Size_Sum","SV_Rate","SV_Proportion"
"2436A","chr1p","DEL",5,0.131346,0.0403068911877665,0.00105882978598967
"2436A","chr1p","DUP",4,0.03406,0.0322455129502132,0.000274570542771065
"2436A","chr1p","INS",2,0.004139,0.0161227564751066,3.33660445252331e-05
"2436A","chr1p","INV",1,0.000834,0.00806137823755329,6.72318945011944e-06
"2436A","chr1q","DEL",3,0.061028,0.0241275748415054,0.000490819212475796
"2436A","chr1q","DUP",2,0.027273,0.0160850498943369,0.000219343782884125
"2436A","chr1q","INS",2,0.001657,0.0160850498943369,1.33264638374581e-05
"2436A","chr10p","DEL",4,0.045175,0.0984029423857414,0.00111133823056897
"2436A","chr10p","DUP",2,0.014907,0.0492014711928707,0.000366723165536062
"2436A","chr10p","INS",3,0.005286,0.0738022067893061,0.000130039488362757
"2436A","chr10q","BND",12,94.898402,0.127511792370253,1.0083887776744
"2436A","chr10q","DEL",3,0.010679,0.0318779480925633,0.000113474869226828
"2436A","chr10q","DUP",1,0.023654,0.0106259826975211,0.000251346994727164
"2436A","chr10q","INS",5,0.008797,0.0531299134876055,9.34767697900932e-05
"2436A","chr11p","BND",4,0.017322,0.07583899782708,0.00032842078009017
"2436A","chr11p","DEL",2,0.011691,0.03791949891354,0.000221658430899098
"2436A","chr11q","BND",10,0.463214,0.121382120918538,0.00562258977591598
"2436A","chr11q","DEL",4,0.034358,0.0485528483674153,0.000417044691051914
"2436A","chr11q","DUP",1,0.001514,0.0121382120918538,1.83772531070667e-05
"2436A","chr11q","INS",2,0.006382,0.0242764241837077,7.74660695702112e-05
"2436A","chr12p","BND",5,186.374464,0.139230529668578,5.18980306788346
"2436A","chr12p","DEL",1,0.000227,0.0278461059337156,6.32106604695343e-06
"2436A","chr12p","INS",1,0.004078,0.0278461059337156,0.000113556419997692
"2436A","chr12q","BND",3,99.64919,0.0307967475842313,1.02295698380103
"2436A","chr12q","DEL",1,0.014367,0.0102655825280771,0.000147485624180883
"2436A","chr12q","INS",4,0.009253,0.0410623301123083,9.49874351322973e-05
"2436A","chr13p","INS",1,0.005156,0.0605219094759275,0.000312050965257882
"2436A","chr13q","DEL",2,0.004917,0.0206092625610158,5.06678720062573e-05
"2436A","chr14p","DEL",1,0.000649,0.0877172899813434,5.69285211978919e-05
"2436A","chr14p","INS",1,0.001503,0.0877172899813434,0.000131839086841959
"2436A","chr14q","BND",2,0.012912,0.0222813343546948,0.00014384829459391
"2436A","chr14q","DEL",2,0.000302,0.0222813343546948,3.36448148755892e-06
"2436A","chr14q","INS",3,0.004666,0.0334220015320423,5.19823530495031e-05
"2436A","chr15q","BND",2,0.022012,0.0242228800483586,0.000266597017812234
"2436A","chr15q","DEL",2,0.005549,0.0242228800483586,6.72063806941708e-05
"2436A","chr15q","INS",1,0.000312,0.0121114400241793,3.77876928754394e-06
"2436A","chr16p","DEL",4,0.028985,0.108580866265209,0.000786804102174269
"2436A","chr16p","INS",3,0.000449,0.0814356496989066,1.21882022382697e-05
"2436A","chr16q","BND",6,0.074222,0.10085479311816,0.00124760740913601
