filename	chr	Arm	type	arm_size	sv_count	sv_size_sum	chr_arm_length_mb	sv_rate	sv_proportion	region
2436A_run3	chr1	p	DEL	124048267	1900	2.413004	124.048267	15.3166186513513	0.019452137932729	chr1p
2436A_run3	chr1	p	DUP	124048267	40	1.344068	124.048267	0.322455129502132	0.0108350405249918	chr1p
2436A_run3	chr1	p	INS	124048267	2056	0.002056	124.048267	16.5741936564096	1.65741936564096e-05	chr1p
2436A_run3	chr1	p	INV	124048267	8	0.006672	124.048267	0.0644910259004263	5.37855156009556e-05	chr1p
2436A_run3	chr1	q	DEL	124339061	1900	2.413004	124.339061	15.2807973996201	0.0194066448676173	chr1q
2436A_run3	chr1	q	DUP	124339061	40	1.344068	124.339061	0.321700997886738	0.0108097004206908	chr1q
2436A_run3	chr1	q	INS	124339061	2056	0.002056	124.339061	16.5354312913783	1.65354312913783e-05	chr1q
2436A_run3	chr1	q	INV	124339061	8	0.006672	124.339061	0.0643401995773476	5.36597264475079e-05	chr1q
2436A_run3	chr10	p	DEL	40649191	1520	1.353636	40.649191	37.3931181065818	0.0333004413298164	chr10p
2436A_run3	chr10	p	DUP	40649191	20	0.219704	40.649191	0.492014711928707	0.00540488001347924	chr10p
2436A_run3	chr10	p	INS	40649191	1324	0.001324	40.649191	32.5713739296804	3.25713739296804e-05	chr10p
2436A_run3	chr10	q	DEL	94108943	1520	1.353636	94.108943	16.1514937002321	0.0143837127147417	chr10q
2436A_run3	chr10	q	DUP	94108943	20	0.219704	94.108943	0.212519653950422	0.00233457090257618	chr10q
2436A_run3	chr10	q	INS	94108943	1324	0.001324	94.108943	14.0688010915179	1.40688010915179e-05	chr10q
2436A_run3	chr11	p	DEL	52743313	1396	1.04916	52.743313	26.4678102416509	0.0198918107400648	chr11p
2436A_run3	chr11	p	DUP	52743313	16	0.03914	52.743313	0.30335599130832	0.000742084593737978	chr11p
2436A_run3	chr11	p	INS	52743313	1420	0.00142	52.743313	26.9228442286134	2.69228442286134e-05	chr11p
2436A_run3	chr11	q	DEL	82384456	1396	1.04916	82.384456	16.9449440802279	0.0127349265982894	chr11q
2436A_run3	chr11	q	DUP	82384456	16	0.03914	82.384456	0.194211393469661	0.000475089621275159	chr11q
2436A_run3	chr11	q	INS	82384456	1420	0.00142	82.384456	17.2362611704324	1.72362611704324e-05	chr11q
2436A_run3	chr12	p	DEL	35911664	1396	0.812528	35.911664	38.8731638834669	0.02262574076211	chr12p
2436A_run3	chr12	p	DUP	35911664	4	0.003308	35.911664	0.111384423734862	9.21149184287311e-05	chr12p
2436A_run3	chr12	p	INS	35911664	1424	0.001424	35.911664	39.652854849611	3.9652854849611e-05	chr12p
2436A_run3	chr12	q	DEL	97412884	1396	0.812528	97.412884	14.3307532091956	0.00834107324037342	chr12q
2436A_run3	chr12	q	DUP	97412884	4	0.003308	97.412884	0.0410623301123083	3.3958547002879e-05	chr12q
2436A_run3	chr12	q	INS	97412884	1424	0.001424	97.412884	14.6181895199818	1.46181895199818e-05	chr12q
2436A_run3	chr13	p	DEL	16522942	1216	0.542804	16.522942	73.5946419227278	0.0328515345511713	chr13p
2436A_run3	chr13	p	DUP	16522942	4	0.000212	16.522942	0.24208763790371	1.28306448088966e-05	chr13p
2436A_run3	chr13	p	INS	16522942	1108	0.001108	16.522942	67.0582756993276	6.70582756993276e-05	chr13p
2436A_run3	chr13	q	DEL	97043744	1216	0.542804	97.043744	12.5304316370976	0.00559339507758481	chr13q
2436A_run3	chr13	q	DUP	97043744	4	0.000212	97.043744	0.0412185251220316	2.18458183146767e-06	chr13q
2436A_run3	chr13	q	INS	97043744	1108	0.001108	97.043744	11.4175314588027	1.14175314588027e-05	chr13q
2436A_run3	chr14	p	DEL	11400261	1008	0.559748	11.400261	88.4190283011942	0.049099577632477	chr14p
2436A_run3	chr14	p	INS	11400261	820	0.00082	11.400261	71.9281777847016	7.19281777847016e-05	chr14p
2436A_run3	chr14	q	DEL	89761231	1008	0.559748	89.761231	11.2297925147662	0.00623596617118587	chr14q
2436A_run3	chr14	q	INS	89761231	820	0.00082	89.761231	9.13534708542489	9.13534708542489e-06	chr14q
2436A_run3	chr15	p	DEL	17186630	752	0.3663	17.18663	43.7549420683403	0.0213130788292993	chr15p
2436A_run3	chr15	p	DUP	17186630	4	0	17.18663	0.232739053555002	0	chr15p
2436A_run3	chr15	p	INS	17186630	748	0.000748	17.18663	43.5222030147853	4.35222030147853e-05	chr15p
2436A_run3	chr15	q	DEL	82566565	752	0.3663	82.566565	9.10780289818282	0.00443642048085687	chr15q
2436A_run3	chr15	q	DUP	82566565	4	0	82.566565	0.0484457600967171	0	chr15q
2436A_run3	chr15	q	INS	82566565	748	0.000748	82.566565	9.0593571380861	9.0593571380861e-06	chr15q
2436A_run3	chr16	p	DEL	36838903	1136	0.784844	36.838903	30.8369660193193	0.0213047603507629	chr16p
2436A_run3	chr16	p	DUP	36838903	8	0.007224	36.838903	0.217161732530418	0.000196097044474967	chr16p
2436A_run3	chr16	p	INS	36838903	1000	0.001	36.838903	27.1452165663022	2.71452165663022e-05	chr16p
2436A_run3	chr16	p	INV	36838903	8	0.003448	36.838903	0.217161732530418	9.359670672061e-05	chr16p
2436A_run3	chr16	q	DEL	59491471	1136	0.784844	59.491471	19.0951741637049	0.0131925465416715	chr16q
2436A_run3	chr16	q	DUP	59491471	8	0.007224	59.491471	0.13447305749088	0.000121429170914264	chr16q
2436A_run3	chr16	q	INS	59491471	1000	0.001	59.491471	16.80913218636	1.680913218636e-05	chr16q
2436A_run3	chr16	q	INV	59491471	8	0.003448	59.491471	0.13447305749088	5.79578877785691e-05	chr16q
2436A_run3	chr17	p	DEL	25689679	1176	0.631432	25.689679	45.7771387489894	0.024579209417136	chr17p
2436A_run3	chr17	p	DUP	25689679	8	0.002468	25.689679	0.311409107135982	9.60697095514506e-05	chr17p
2436A_run3	chr17	p	INS	25689679	1012	0.001012	25.689679	39.3932520527018	3.93932520527018e-05	chr17p
2436A_run3	chr17	q	DEL	58587218	1176	0.631432	58.587218	20.0726376869439	0.010777640952332	chr17q
2436A_run3	chr17	q	DUP	58587218	8	0.002468	58.587218	0.136548555693496	4.21252294314436e-05	chr17q
2436A_run3	chr17	q	INS	58587218	1012	0.001012	58.587218	17.2733922952273	1.72733922952273e-05	chr17q
2436A_run3	chr18	p	DEL	18449624	868	0.403036	18.449624	47.047029251111	0.0218452148401507	chr18p
2436A_run3	chr18	p	DUP	18449624	8	0.947792	18.449624	0.4336131728213	0.0513718870368307	chr18p
2436A_run3	chr18	p	INS	18449624	920	0.00092	18.449624	49.8655148744495	4.98655148744495e-05	chr18p
2436A_run3	chr18	q	DEL	62092914	868	0.403036	62.092914	13.9790508140752	0.00649085336855023	chr18q
2436A_run3	chr18	q	DUP	62092914	8	0.947792	62.092914	0.128839178009909	0.015264092775546	chr18q
2436A_run3	chr18	q	INS	62092914	920	0.00092	62.092914	14.8165054711396	1.48165054711396e-05	chr18q
2436A_run3	chr19	p	DEL	27792923	964	0.423772	27.792923	34.6850887184482	0.0152474786477119	chr19p
2436A_run3	chr19	p	INS	27792923	896	0.000896	27.792923	32.2384227092631	3.22384227092631e-05	chr19p
2436A_run3	chr19	q	DEL	33914441	964	0.423772	33.914441	28.4244696823987	0.0124953261060679	chr19q
2436A_run3	chr19	q	INS	33914441	896	0.000896	33.914441	26.4194241031424	2.64194241031424e-05	chr19q
2436A_run3	chr2	p	DEL	93503283	2520	1.343896	93.503283	26.9509253487923	0.014372714592278	chr2p
2436A_run3	chr2	p	DUP	93503283	16	0.112692	93.503283	0.171116986341538	0.00120521971405004	chr2p
2436A_run3	chr2	p	INS	93503283	2188	0.002188	93.503283	23.4002478822054	2.34002478822054e-05	chr2p
2436A_run3	chr2	q	DEL	149193469	2520	1.343896	149.193469	16.890819798553	0.00900774014444292	chr2q
2436A_run3	chr2	q	DUP	149193469	16	0.112692	149.193469	0.107243300308273	0.000755341374896243	chr2q
2436A_run3	chr2	q	INS	149193469	2188	0.002188	149.193469	14.6655213171563	1.46655213171563e-05	chr2q
2436A_run3	chr20	p	DEL	28012753	884	0.321156	28.012753	31.5570554597044	0.0114646354108788	chr20p
2436A_run3	chr20	p	DUP	28012753	4	0.000784	28.012753	0.142792106152508	2.79872528058917e-05	chr20p
2436A_run3	chr20	p	INS	28012753	724	0.000724	28.012753	25.845371213604	2.5845371213604e-05	chr20p
2436A_run3	chr20	p	INV	28012753	8	0.004944	28.012753	0.285584212305017	0.0001764910432045	chr20p
2436A_run3	chr20	q	DEL	38197502	884	0.321156	38.197502	23.1428746309117	0.00840777493774331	chr20q
2436A_run3	chr20	q	DUP	38197502	4	0.000784	38.197502	0.104718889732632	2.05249023875959e-05	chr20q
2436A_run3	chr20	q	INS	38197502	724	0.000724	38.197502	18.9541190416064	1.89541190416064e-05	chr20q
2436A_run3	chr20	q	INV	38197502	8	0.004944	38.197502	0.209437779465265	0.000129432547709533	chr20q
2436A_run3	chr21	p	DEL	11134529	552	0.205296	11.134529	49.575514150621	0.018437780349757	chr21p
2436A_run3	chr21	p	DUP	11134529	8	0.001752	11.134529	0.718485712327841	0.000157348370999797	chr21p
2436A_run3	chr21	p	INS	11134529	612	0.000612	11.134529	54.9641569930798	5.49641569930798e-05	chr21p
2436A_run3	chr21	q	DEL	33956153	552	0.205296	33.956153	16.2562584754521	0.00604591456517468	chr21q
2436A_run3	chr21	q	DUP	33956153	8	0.001752	33.956153	0.235597948919596	5.15959508133916e-05	chr21q
2436A_run3	chr21	q	INS	33956153	612	0.000612	33.956153	18.0232430923491	1.80232430923491e-05	chr21q
2436A_run3	chr22	p	DEL	14249622	664	0.313832	14.249622	46.5977272940994	0.022023882458075	chr22p
2436A_run3	chr22	p	DUP	14249622	4	0.000352	14.249622	0.280709200566864	2.4702409649884e-05	chr22p
2436A_run3	chr22	p	INS	14249622	712	0.000712	14.249622	49.9662377009018	4.99662377009018e-05	chr22p
2436A_run3	chr22	q	DEL	37075304	664	0.313832	37.075304	17.9094957656989	0.00846471818545304	chr22q
2436A_run3	chr22	q	DUP	37075304	4	0.000352	37.075304	0.10788852870903	9.4941905263946e-06	chr22q
2436A_run3	chr22	q	INS	37075304	712	0.000712	37.075304	19.2041581102073	1.92041581102073e-05	chr22q
2436A_run3	chr3	p	DEL	94076514	1640	2.437872	94.076514	17.4326187298989	0.0259137152977416	chr3p
2436A_run3	chr3	p	DUP	94076514	12	0.035344	94.076514	0.127555746804139	0.000375694192920456	chr3p
2436A_run3	chr3	p	INS	94076514	1656	0.001656	94.076514	17.6026930589711	1.76026930589711e-05	chr3p
2436A_run3	chr3	q	DEL	107029434	1640	2.437872	107.029434	15.3228877207741	0.0227775847156213	chr3q
2436A_run3	chr3	q	DUP	107029434	12	0.035344	107.029434	0.11211869063981	0.000330226916831121	chr3q
2436A_run3	chr3	q	INS	107029434	1656	0.001656	107.029434	15.4723793082938	1.54723793082938e-05	chr3q
2436A_run3	chr4	p	DEL	52452474	1904	1.301224	52.452474	36.2995270728317	0.0248076763738542	chr4p
2436A_run3	chr4	p	DUP	52452474	12	0.05424	52.452474	0.228778531971628	0.00103407896451176	chr4p
2436A_run3	chr4	p	INS	52452474	2012	0.002012	52.452474	38.3585338605763	3.83585338605763e-05	chr4p
2436A_run3	chr4	q	DEL	141122471	1904	1.301224	141.122471	13.4918272512391	0.00922053015922602	chr4q
2436A_run3	chr4	q	DUP	141122471	12	0.05424	141.122471	0.0850325246926834	0.000384347011610929	chr4q
2436A_run3	chr4	q	INS	141122471	2012	0.002012	141.122471	14.2571199734733	1.42571199734733e-05	chr4q
2436A_run3	chr5	p	DEL	48317879	1720	1.170844	48.317879	35.5975890415223	0.0242321067114722	chr5p
2436A_run3	chr5	p	DUP	48317879	8	0.00316	48.317879	0.165570181588476	6.54002217274479e-05	chr5p
2436A_run3	chr5	p	INS	48317879	1736	0.001736	48.317879	35.9287294046992	3.59287294046992e-05	chr5p
2436A_run3	chr5	q	DEL	133727560	1720	1.170844	133.72756	12.8619710103138	0.0087554427823255	chr5q
2436A_run3	chr5	q	DUP	133727560	8	0.00316	133.72756	0.0598231209782037	2.36301327863905e-05	chr5q
2436A_run3	chr5	q	INS	133727560	1736	0.001736	133.72756	12.9816172522702	1.29816172522702e-05	chr5q
2436A_run3	chr6	p	DEL	59672548	1868	2.667672	59.672548	31.3041769223597	0.0447051800100777	chr6p
2436A_run3	chr6	p	DUP	59672548	24	0.185768	59.672548	0.402194992578497	0.00311312330755509	chr6p
2436A_run3	chr6	p	INS	59672548	1800	0.0018	59.672548	30.1646244433873	3.01646244433873e-05	chr6p
2436A_run3	chr6	q	DEL	112454080	1868	2.667672	112.45408	16.6112247772602	0.0237223229250553	chr6q
2436A_run3	chr6	q	DUP	112454080	24	0.185768	112.45408	0.213420446817047	0.00165194539851289	chr6q
2436A_run3	chr6	q	INS	112454080	1800	0.0018	112.45408	16.0065335112786	1.60065335112786e-05	chr6q
2436A_run3	chr7	p	DEL	62064435	1712	1.045968	62.064435	27.5842356415554	0.0168529367906112	chr7p
2436A_run3	chr7	p	DUP	62064435	20	0.776152	62.064435	0.322245743476115	0.0125055839145237	chr7p
2436A_run3	chr7	p	INS	62064435	1828	0.001828	62.064435	29.4532609537169	2.94532609537169e-05	chr7p
2436A_run3	chr7	p	INV	62064435	8	0.008752	62.064435	0.128898297390446	0.000141014737345148	chr7p
2436A_run3	chr7	q	DEL	98502993	1712	1.045968	98.502993	17.380182549377	0.0106186418112189	chr7q
2436A_run3	chr7	q	DUP	98502993	20	0.776152	98.502993	0.203039515763749	0.00787947631195328	chr7q
2436A_run3	chr7	q	INS	98502993	1828	0.001828	98.502993	18.5578117408067	1.85578117408067e-05	chr7q
