SampleID	assigned_arm	chr	Length	total_length_neutral	total_length_gain	total_length_loss	proportion_neutral	proportion_gain	proportion_loss	final_average_TL_p75	chr_order	arm	arm_call	arm_num_seg	arm_cr_wmean	type	total_size	SVs_density
2436A	chr10q	chr10	94108943	26230785	0	18621836	0.278727867552396	0	0.197875307132076	2732.75	10	q	0	5	0.987038553435869	DEL	159358	0.00169333535071157
2436A	chr10q	chr10	94108943	26230785	0	18621836	0.278727867552396	0	0.197875307132076	2732.75	10	q	0	5	0.987038553435869	DUP	23673	0.000251548888398417
2436A	chr11p	chr11	52743313	3002850	0	0	0.0569332836562618	0	0	6766	11	p	0	6	1.00672998697595	DEL	104279	0.00197710371360252
2436A	chr12p	chr12	35911664	4003740	0	0	0.111488568171054	0	0	5319.4	12	p	0	2	1.09095719505308	DEL	68002	0.00189359089570453
2436A	chr12p	chr12	35911664	4003740	0	0	0.111488568171054	0	0	5319.4	12	p	0	2	1.09095719505308	INV	99738133	2.77731861714901
2436A	chr12q	chr12	97412884	9809163	0	0	0.10069677230786	0	0	6085	12	q	0	10	1.00293761806832	DEL	164131	0.00168490032591582
2436A	chr12q	chr12	97412884	9809163	0	0	0.10069677230786	0	0	6085	12	q	0	10	1.00293761806832	INV	21374425	0.219420923827694
2436A	chr14q	chr14	89761231	1001600	0	0	0.0111584922448312	0	0	3490.6	14	q	0	11	1.01146096283748	DEL	122578	0.00136560070126489
2436A	chr15q	chr15	82566565	0	1602464	0	0	0.0194081466269064	0	4111.5	15	q	0	3	0.982048598704217	DEL	102780	0.00124481380568515
2436A	chr16p	chr16	36838903	38251783	0	0	1.0383529335822	0	0	6940.2	16	p	0	NA	NA	DEL	92031	0.00249820142581336
2436A	chr16q	chr16	59491471	5607588	0	0	0.0942586879386459	0	0	5979	16	q	0	4	0.976560019218559	DEL	81510	0.0013701123645102
2436A	chr16q	chr16	59491471	5607588	0	0	0.0942586879386459	0	0	5979	16	q	0	4	0.976560019218559	INV	432	7.2615451045075e-06
2436A	chr16q	chr16	59491471	5607588	0	0	0.0942586879386459	0	0	5979	16	q	0	4	0.976560019218559	DUP	1721	2.89285164927255e-05
2436A	chr17q	chr17	58587218	1601456	0	0	0.0273345629758354	0	0	4601.5	17	q	0	4	1.00313116718961	DEL	97000	0.00165565123778364
2436A	chr17q	chr17	58587218	1601456	0	0	0.0273345629758354	0	0	4601.5	17	q	0	4	1.00313116718961	INV	45449	0.000775749413464213
2436A	chr18q	chr18	62092914	0	0	200355	0	0	0.00322669668877193	3629.5	18	q	0	3	1.02491350006894	DEL	499577	0.00804563625408207
2436A	chr19p	chr19	27792923	18231759	0	0	0.655985662249343	0	0	6319.75	19	p	0	NA	NA	DEL	71233	0.0025629905857689
2436A	chr19q	chr19	33914441	4608004	0	7012180	0.135871441902876	0	0.206760889852202	4544.5	19	q	NA	2	0.691185015278888	DEL	54142	0.00159642908458966
2436A	chr1p	chr1	124048267	27820989	0	0	0.224275515271809	0	0	5221	1	p	0	8	0.989905494732485	DEL	201164	0.00162165909177917
2436A	chr1p	chr1	124048267	27820989	0	0	0.224275515271809	0	0	5221	1	p	0	8	0.989905494732485	INV	128773621	1.03809286590034
2436A	chr1q	chr1	124339061	0	200151	0	0	0.00160971941070071	0	5051.16666666667	1	q	0	4	1.00785887346763	DEL	173200	0.00139296532084958
2436A	chr1q	chr1	124339061	0	200151	0	0	0.00160971941070071	0	5051.16666666667	1	q	0	4	1.00785887346763	DUP	279	2.24386446026e-06
2436A	chr20q	chr20	38197502	7401143	0	0	0.193759869428111	0	0	4378.4	20	q	0	3	0.962143900838668	DEL	96999	0.0025394068962939
2436A	chr20q	chr20	38197502	7401143	0	0	0.193759869428111	0	0	4378.4	20	q	0	3	0.962143900838668	INV	3018	7.9010402303271e-05
2436A	chr2p	chr2	93503283	0	0	200080	0	0	0.00213981791420094	4118.25	2	p	0	8	1.00902090437635	DEL	112168	0.00119961563274735
2436A	chr2p	chr2	93503283	0	0	200080	0	0	0.00213981791420094	4118.25	2	p	0	8	1.00902090437635	DUP	14595	0.000156090775978422
2436A	chr3p	chr3	94076514	3802014	0	0	0.0404140612608158	0	0	4739.2	3	p	0	8	1.02518278839036	DEL	134904	0.00143398170557213
2436A	chr3p	chr3	94076514	3802014	0	0	0.0404140612608158	0	0	4739.2	3	p	0	8	1.02518278839036	INV	465	4.94278518866037e-06
2436A	chr4p	chr4	52452474	4203801	0	0	0.0801449517900719	0	0	5788.25	4	p	0	5	1.03149771455883	DEL	89057	0.00169786081014977
2436A	chr5p	chr5	48317879	5001250	0	0	0.103507233833671	0	0	6545.75	5	p	0	3	1.02594334914399	DEL	159801	0.0033072850735025
2436A	chr5p	chr5	48317879	5001250	0	0	0.103507233833671	0	0	6545.75	5	p	0	3	1.02594334914399	DUP	111817	0.00231419512433482
2436A	chr5p	chr5	48317879	5001250	0	0	0.103507233833671	0	0	6545.75	5	p	0	3	1.02594334914399	INV	9524	0.00019711130118108
2436A	chr5q	chr5	133727560	0	400100	0	0	0.00299190383792241	0	10542.2083333333	5	q	0	6	1.02518149055856	DEL	213503	0.00159655197477618
2436A	chr6p	chr6	59672548	7005180	0	0	0.117393679921293	0	0	4048.5	6	p	0	4	1.01346184791604	DEL	149898	0.00251200937489715
2436A	chr6p	chr6	59672548	7005180	0	0	0.117393679921293	0	0	4048.5	6	p	0	4	1.01346184791604	INV	476	7.97686735280686e-06
2436A	chr6p	chr6	59672548	7005180	0	0	0.117393679921293	0	0	4048.5	6	p	0	4	1.01346184791604	DUP	4055	6.79541956210752e-05
2436A	chr6q	chr6	112454080	38628371	0	0	0.343503508276445	0	0	5896.92857142857	6	q	0	6	0.94057089993776	DEL	298060	0.00265050409909538
2436A	chr6q	chr6	112454080	38628371	0	0	0.343503508276445	0	0	5896.92857142857	6	q	0	6	0.94057089993776	DUP	16115	0.00014330293751903
2436A	chr6q	chr6	112454080	38628371	0	0	0.343503508276445	0	0	5896.92857142857	6	q	0	6	0.94057089993776	INV	337	2.99677877405604e-06
