Sample_ID	Patient_ID	Sample_Type	chrom	arm	arm_length	altered_bp	w_mean_seg	frac_altered	n_segments	ArmClass	ArmDir	ArmLabel
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr1	1p	125000000	2871229	-0.201879	0.022969832	14	Segmental	Loss	chr11p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr1	1q	124250621	0	0	0	18	Neutral	Neutral	chr11q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr10	10p	40200000	34085716	-0.2959536680238726	0.8479033830845771	5	Aneuploid	Loss	chr1010p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr10	10q	95334747	79768429	-0.25254882809988644	0.8367193652908105	8	Aneuploid	Loss	chr1010q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr11	11p	53700000	0	0	0	5	Neutral	Neutral	chr1111p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr11	11q	81306516	0	0	0	15	Neutral	Neutral	chr1111q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr12	12p	35800000	1625326	1.013875	0.04540016759776536	8	Segmental	Gain	chr1212p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr12	12q	98051895	6094318	0.8681907745936461	0.062154005284650544	21	Segmental	Gain	chr1212q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr13	13q	97269878	0	0	0	4	Neutral	Neutral	chr1313q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr14	14q	89749540	27949939	-0.23835987638953343	0.3114215292914036	14	Segmental	Loss	chr1414q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr15	15q	83531392	1154967	0.9102680000000002	0.013826741927154763	8	Segmental	Gain	chr1515q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr16	16p	36600000	2639796	1.095246	0.07212557377049181	6	Segmental	Gain	chr1616p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr16	16q	53754753	0	0	0	9	Neutral	Neutral	chr1616q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr17	17p	24000000	0	0	0	5	Neutral	Neutral	chr1717p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr17	17q	57195210	0	0	0	10	Neutral	Neutral	chr1717q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr18	18p	17200000	0	0	0	2	Neutral	Neutral	chr1818p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr18	18q	60877248	0	0	0	4	Neutral	Neutral	chr1818q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr19	19p	26500000	0	0	0	5	Neutral	Neutral	chr1919p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr19	19q	32628983	0	0	0	6	Neutral	Neutral	chr1919q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr2	2p	93300000	0	0	0	12	Neutral	Neutral	chr22p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr2	2q	149899373	2294230	1.0633881747143925	0.01530513406483695	19	Segmental	Gain	chr22q
