type	chr	filename	arm	sv_count	sv_size_sum	chr_length_mb	sv_rate	sv_proportion	region
DEL	chr1	2436A	p	581	201164	248.956422	2.3337417662598	0.000808028965004968	chr1p
DEL	chr1	2436A	q	551	173200	248.956422	2.2132387490691	0.000695704085914281	chr1q
DEL	chr1	3188	p	330	389636135	248.956422	1.32553318909765	1.56507766246737	chr1p
DEL	chr1	3188	q	378	82339694	248.956422	1.51833801660276	0.330739385385286	chr1q
DEL	chr1	3988	p	523	256730	248.956422	2.10076926635779	0.00103122465344557	chr1p
DEL	chr1	3988	q	459	194912	248.956422	1.84369616301764	0.000782916136222427	chr1q
DEL	chr1	6265D	p	394	142301829	248.956422	1.5826062924378	0.571593324875146	chr1p
DEL	chr1	6265D	q	434	283651	248.956422	1.74327698202539	0.00113936004430526	chr1q
DEL	chr1	6266D	p	668	276059	248.956422	2.68320051611282	0.00110886474742154	chr1p
DEL	chr1	6266D	q	574	241008	248.956422	2.30562439558197	0.00096807303890317	chr1q
DEL	chr1	6269C	p	428	173190507	248.956422	1.71917637858725	0.695665954742875	chr1p
DEL	chr1	6269C	q	440	200076	248.956422	1.76737758546353	0.000803658722248185	chr1q
DEL	chr1	6277A	p	553	146649	248.956422	2.22127228354848	0.000589054898933276	chr1p
DEL	chr1	6277A	q	603	238721	248.956422	2.42211064553298	0.000958886692225999	chr1q
DEL	chr1	6285B	p	619	222848	248.956422	2.48637892136801	0.000895128545830402	chr1p
DEL	chr1	6285B	q	513	177765	248.956422	2.06060159396089	0.000714040628363465	chr1q
DEL	chr1	6298B	p	662	225473	248.956422	2.65909991267468	0.000905672559834588	chr1p
DEL	chr1	6298B	q	566	184386	248.956422	2.27349025766445	0.000740635644257452	chr1q
DEL	chr1	6314E	p	421	171320	248.956422	1.69105900790942	0.000688152563503664	chr1p
DEL	chr1	6314E	q	390	218618	248.956422	1.56653922347904	0.000878137620406514	chr1q
DEL	chr1	6324B	p	654	225456	248.956422	2.62696577475716	0.000905604274791514	chr1p
DEL	chr1	6324B	q	560	179981	248.956422	2.24938965422631	0.000722941784566618	chr1q
DEL	chr1	6365A	p	712	261397	248.956422	2.85993827465917	0.00104997090615321	chr1p
DEL	chr1	6365A	q	619	224030	248.956422	2.48637892136801	0.000899876364707716	chr1q
DEL	chr1	6414C	p	624	173868	248.956422	2.50646275756646	0.000698387286430394	chr1p
DEL	chr1	6414C	q	468	216369	248.956422	1.87984706817485	0.000869103910884452	chr1q
DEL	chr1	6423A	p	549	149215	248.956422	2.20520521458972	0.00059936192367032	chr1p
DEL	chr1	6423A	q	533	141741	248.956422	2.14093693875469	0.000569340605320878	chr1q
DEL	chr1	6436B	p	620	176571	248.956422	2.4903956886077	0.000709244608279276	chr1p
