filename	chr	Arm	arm_size.y	type	sv_count	sv_size_sum	chr_arm_length_mb	sv_rate	sv_proportion	region
2436A	chr1	p	124048267	DEL	5	0.131346	124.048267	0.0403068911877665	0.00105882978598967	chr1p
2436A	chr1	p	124048267	DUP	4	0.03406	124.048267	0.0322455129502132	0.000274570542771065	chr1p
2436A	chr1	p	124048267	INS	2	2e-06	124.048267	0.0161227564751066	1.61227564751066e-08	chr1p
2436A	chr1	p	124048267	INV	1	0.000834	124.048267	0.00806137823755329	6.72318945011944e-06	chr1p
2436A	chr1	q	124339061	DEL	3	0.061028	124.339061	0.0241275748415054	0.000490819212475796	chr1q
2436A	chr1	q	124339061	DUP	2	0.027273	124.339061	0.0160850498943369	0.000219343782884125	chr1q
2436A	chr1	q	124339061	INS	2	2e-06	124.339061	0.0160850498943369	1.60850498943369e-08	chr1q
2436A	chr10	p	40649191	DEL	4	0.045175	40.649191	0.0984029423857414	0.00111133823056897	chr10p
2436A	chr10	p	40649191	DUP	2	0.014907	40.649191	0.0492014711928707	0.000366723165536062	chr10p
2436A	chr10	p	40649191	INS	3	3e-06	40.649191	0.0738022067893061	7.38022067893061e-08	chr10p
2436A	chr10	q	94108943	DEL	3	0.010679	94.108943	0.0318779480925633	0.000113474869226828	chr10q
2436A	chr10	q	94108943	DUP	1	0.023654	94.108943	0.0106259826975211	0.000251346994727164	chr10q
2436A	chr10	q	94108943	INS	5	5e-06	94.108943	0.0531299134876055	5.31299134876055e-08	chr10q
2436A	chr11	p	52743313	DEL	2	0.011691	52.743313	0.03791949891354	0.000221658430899098	chr11p
2436A	chr11	q	82384456	DEL	4	0.034358	82.384456	0.0485528483674153	0.000417044691051914	chr11q
2436A	chr11	q	82384456	DUP	1	0.001514	82.384456	0.0121382120918538	1.83772531070667e-05	chr11q
2436A	chr11	q	82384456	INS	2	2e-06	82.384456	0.0242764241837077	2.42764241837077e-08	chr11q
