ID	chrom	Arm	Gain_Loss	Arm_Length	total_cnv_length	segment_count	arm_length_mb	cnv_rate_per_mb	cnv_proportion_per_mb	arm
2436A	chr1	q	Gain	124339061	0.200152	1	124.339061	0.00804252494716845	0.00160972745322566	chr1q
2436A	chr10	q	Loss	94108943	17.220193	2	94.108943	0.0212519653950422	0.182981472865974	chr10q
2436A	chr15	q	Gain	82566565	1.602465	1	82.566565	0.0121114400241793	0.0194081587383464	chr15q
2436A	chr18	q	Loss	62092914	0.200356	1	62.092914	0.0161048972512387	0.00322671279366918	chr18q
2436A	chr19	q	Loss	33914441	7.012181	1	33.914441	0.0294859644008285	0.206760919338166	chr19q
2436A	chr2	p	Loss	93503283	0.200081	1	93.503283	0.0106948116463462	0.00213982860901258	chr2p
2436A	chr5	q	Gain	133727560	0.400101	1	133.72756	0.00747789012227547	0.00299191131581254	chr5q
2436A	chr9	p	Gain	46267185	3.200369	1	46.267185	0.0216135907122943	0.0691714656943144	chr9p
2436A	chr9	q	Gain	104350062	0.200024	1	104.350062	0.00958312799085831	0.00191685559324344	chr9q
3188	chr1	p	Loss	124048267	45.63443	2	124.048267	0.0161227564751066	0.367876400885149	chr1p
3188	chr1	q	Gain	124339061	1.000751	1	124.339061	0.00804252494716845	0.00804856488340377	chr1q
3188	chr10	q	Loss	94108943	41.648868	7	94.108943	0.0743818788826477	0.44256015073934	chr10q
3188	chr11	p	Gain	52743313	1.401331	1	52.743313	0.01895974945677	0.026568884666005	chr11p
3188	chr11	q	Gain	82384456	55.252168	4	82.384456	0.0485528483674153	0.670662533718739	chr11q
3188	chr12	q	Loss	97412884	82.877426	8	97.412884	0.0821246602246167	0.850785056317602	chr12q
3188	chr12	NA	Loss	NA	48.245073	1	NA	NA	NA	chr12NA
3188	chr14	q	Gain	89761231	5.208313	2	89.761231	0.0222813343546948	0.0580240816884519	chr14q
3188	chr14	q	Loss	89761231	11.418199	6	89.761231	0.0668440030640845	0.127206354823721	chr14q
3188	chr15	q	Gain	82566565	2.003081	1	82.566565	0.0121114400241793	0.0242601953950731	chr15q
3188	chr2	q	Loss	149193469	1.400561	1	149.193469	0.00670270626926705	0.00938754899519094	chr2q
3188	chr20	q	Gain	38197502	1.400218	1	38.197502	0.0261797224331581	0.0366573185859117	chr20q
3188	chr22	q	Gain	37075304	1.603905	1	37.075304	0.0269721321772574	0.043260737659764	chr22q
3188	chr4	q	Gain	141122471	6.205612	1	141.122471	0.00708604372439029	0.0439732379686011	chr4q
3188	chr5	p	Gain	48317879	1.200301	1	48.317879	0.0206962726985595	0.0248417568163536	chr5p
3188	chr5	p	Loss	48317879	6.001502	2	48.317879	0.0413925453971189	0.12420872199295	chr5p
3188	chr5	q	Loss	133727560	31.607862	9	133.72756	0.0673010111004792	0.236360119036046	chr5q
3188	chr6	p	Gain	59672548	55.240785	13	59.672548	0.217855620980019	0.925731963046056	chr6p
3188	chr6	q	Loss	112454080	13.810144	1	112.45408	0.00889251861737698	0.122806962628657	chr6q
3188	chr6	NA	Loss	NA	99.47306	1	NA	NA	NA	chr6NA
3188	chr7	q	Gain	98502993	4.404577	1	98.502993	0.0101519757881875	0.0447151590612074	chr7q
3188	chr8	q	Gain	100988875	97.239374	8	100.988875	0.0792166463880304	0.962872138143929	chr8q
3188	chr8	NA	Gain	NA	46.819074	1	NA	NA	NA	chr8NA
3188	chr9	p	Loss	46267185	5.600645	1	46.267185	0.0216135907122943	0.121050048754857	chr9p
3188	chr9	q	Gain	104350062	71.80819	2	104.350062	0.0191662559817166	0.688147075561872	chr9q
3188	chr9	NA	Gain	NA	8.000921	1	NA	NA	NA	chr9NA
3988	chr10	p	Gain	40649191	32.237838	3	40.649191	0.0738022067893061	0.793074528838717	chr10p
3988	chr10	q	Gain	94108943	0.600706	1	94.108943	0.0106259826975211	0.00638309156229711	chr10q
3988	chr11	p	Loss	52743313	12.411761	3	52.743313	0.05687924837031	0.235323878877309	chr11p
3988	chr12	p	Gain	35911664	33.431237	3	35.911664	0.0835383178011467	0.930929766997152	chr12p
3988	chr14	q	Gain	89761231	0.400641	1	89.761231	0.0111406671773474	0.00446340803859965	chr14q
3988	chr15	q	Gain	82566565	2.003081	1	82.566565	0.0121114400241793	0.0242601953950731	chr15q
3988	chr19	q	Loss	33914441	8.013921	1	33.914441	0.0294859644008285	0.236298189317052	chr19q
3988	chr2	p	Loss	93503283	11.004402	2	93.503283	0.0213896232926923	0.117690006670675	chr2p
3988	chr2	q	Loss	149193469	10.404109	1	149.193469	0.00670270626926705	0.0697356866204378	chr2q
3988	chr5	q	Gain	133727560	0.400101	1	133.72756	0.00747789012227547	0.00299191131581254	chr5q
3988	chr7	q	Gain	98502993	9.40982	2	98.502993	0.0203039515763749	0.0955282648112022	chr7q
3988	chr8	p	Gain	45270456	17.207053	1	45.270456	0.0220894616126685	0.380094536710653	chr8p
3988	chr8	q	Gain	100988875	33.41353	3	100.988875	0.0297062423955114	0.330863473823231	chr8q
6265D	chr1	q	Gain	124339061	0.400303	1	124.339061	0.00804252494716845	0.00321944686392637	chr1q
6265D	chr10	q	Gain	94108943	1.401646	1	94.108943	0.0106259826975211	0.0148938661440497	chr10q
6265D	chr11	p	Loss	52743313	10.209691	1	52.743313	0.01895974945677	0.19357318339104	chr11p
6265D	chr12	q	Gain	97412884	12.611784	3	97.412884	0.0307967475842313	0.129467309478282	chr12q
6265D	chr13	q	Gain	97043744	1.201766	2	97.043744	0.0206092625610158	0.0123837555154508	chr13q
6265D	chr13	q	Loss	97043744	15.823227	1	97.043744	0.0103046312805079	0.163052519902777	chr13q
6265D	chr14	q	Gain	89761231	32.251523	3	89.761231	0.0334220015320423	0.359303483705565	chr14q
6265D	chr14	q	Loss	89761231	47.676055	1	89.761231	0.0111406671773474	0.531143061083911	chr14q
6265D	chr15	q	Gain	82566565	0.801233	1	82.566565	0.0121114400241793	0.00970408542489324	chr15q
6265D	chr17	q	Loss	58587218	9.408555	1	58.587218	0.017068569461687	0.160590574551603	chr17q
6265D	chr18	q	Loss	62092914	35.863388	3	62.092914	0.0483146917537161	0.577576178821306	chr18q
6265D	chr19	q	Loss	33914441	17.830973	1	33.914441	0.0294859644008285	0.525763435110135	chr19q
6265D	chr2	p	Gain	93503283	0.200081	1	93.503283	0.0106948116463462	0.00213982860901258	chr2p
6265D	chr21	q	Loss	33956153	6.012091	1	33.956153	0.0294497436149496	0.177054538539746	chr21q
6265D	chr3	p	Gain	94076514	1.200637	1	94.076514	0.0106296455670115	0.01276234576464	chr3p
6265D	chr3	p	Loss	94076514	5.202759	3	94.076514	0.0318889367010346	0.0553034841405794	chr3p
6265D	chr3	q	Gain	107029434	5.602941	1	107.029434	0.0093432242199842	0.0523495340543425	chr3q
6265D	chr4	q	Gain	141122471	1.201087	1	141.122471	0.00708604372439029	0.00851095499879675	chr4q
6265D	chr5	q	Gain	133727560	5.201307	7	133.72756	0.0523452308559283	0.0388948022382222	chr5q
6265D	chr5	q	Loss	133727560	1.800451	1	133.72756	0.00747789012227547	0.013463574748541	chr5q
6265D	chr6	p	Loss	59672548	8.406175	1	59.672548	0.0167581246907707	0.140871728822439	chr6p
6265D	chr6	q	Loss	112454080	78.457626	2	112.45408	0.017785037234754	0.6976858998802	chr6q
6265D	chr6	NA	Loss	NA	31.222933	1	NA	NA	NA	chr6NA
6265D	chr9	p	Gain	46267185	3.400392	1	46.267185	0.0216135907122943	0.0734946809493597	chr9p
6265D	chr9	p	Loss	46267185	35.804118	1	46.267185	0.0216135907122943	0.773855552266688	chr9p
6266D	chr1	q	Gain	124339061	11.608759	1	124.339061	0.00804252494716845	0.0933637338631663	chr1q
6266D	chr10	p	Gain	40649191	34.039957	7	40.649191	0.172205149175048	0.837407981871029	chr10p
6266D	chr10	q	Gain	94108943	0.600706	1	94.108943	0.0106259826975211	0.00638309156229711	chr10q
6266D	chr11	p	Loss	52743313	15.014251	1	52.743313	0.01895974945677	0.284666437241058	chr11p
6266D	chr12	p	Gain	35911664	24.022449	4	35.911664	0.111384423734862	0.66893165964128	chr12p
6266D	chr12	p	Loss	35911664	0.800749	1	35.911664	0.0278461059337156	0.0222977414803168	chr12p
6266D	chr14	q	Gain	89761231	0.801281	1	89.761231	0.0111406671773474	0.00892680493653212	chr14q
6266D	chr15	q	Gain	82566565	1.602465	1	82.566565	0.0121114400241793	0.0194081587383464	chr15q
6266D	chr22	q	Gain	37075304	0.601465	1	37.075304	0.0269721321772574	0.0162227934799941	chr22q
6266D	chr6	q	Loss	112454080	0.200148	1	112.45408	0.00889251861737698	0.00177981981623077	chr6q
6266D	chr9	p	Loss	46267185	0.400047	1	46.267185	0.0216135907122943	0.00864645212368118	chr9p
6269C	chr1	p	Gain	124048267	54.641228	5	124.048267	0.0403068911877665	0.440483606272388	chr1p
6269C	chr1	q	Gain	124339061	24.418425	3	124.339061	0.0241275748415054	0.196385792233062	chr1q
6269C	chr10	p	Gain	40649191	2.803291	1	40.649191	0.0246007355964354	0.0689630206908669	chr10p
6269C	chr11	p	Gain	52743313	3.403231	1	52.743313	0.01895974945677	0.0645244071035128	chr11p
6269C	chr11	q	Gain	82384456	57.053871	6	82.384456	0.072829272551123	0.692531986859269	chr11q
6269C	chr12	q	Gain	97412884	24.422817	3	97.412884	0.0307967475842313	0.250714443481624	chr12q
6269C	chr13	q	Gain	97043744	45.066154	4	97.043744	0.0412185251220316	0.464390100200586	chr13q
6269C	chr14	q	Gain	89761231	0.801281	1	89.761231	0.0111406671773474	0.00892680493653212	chr14q
6269C	chr15	q	Gain	82566565	1.602465	1	82.566565	0.0121114400241793	0.0194081587383464	chr15q
6269C	chr17	q	Gain	58587218	7.40676	2	58.587218	0.034137138923374	0.126422797546045	chr17q
6269C	chr19	p	Loss	27792923	19.634203	1	27.792923	0.0359803824880168	0.706446133787367	chr19p
6269C	chr19	q	Loss	33914441	6.611485	1	33.914441	0.0294859644008285	0.194946011346612	chr19q
6269C	chr21	NA	Loss	NA	5.811688	1	NA	NA	NA	chr21NA
6269C	chr5	NA	Loss	NA	4.801201	1	NA	NA	NA	chr5NA
6269C	chr7	p	Gain	62064435	45.247239	5	62.064435	0.0805614358690287	0.729036508589823	chr7p
6269C	chr7	q	Gain	98502993	58.260728	7	98.502993	0.0710638305173123	0.591461500058176	chr7q
6269C	chr8	p	Gain	45270456	39.416078	2	45.270456	0.0441789232253371	0.870679941902949	chr8p
6269C	chr8	q	Gain	100988875	80.632657	14	100.988875	0.138629131179053	0.798431084612043	chr8q
6277A	chr1	p	Loss	124048267	18.614044	1	124.048267	0.00806137823755329	0.150054849214459	chr1p
6277A	chr1	q	Gain	124339061	22.016611	1	124.339061	0.00804252494716845	0.177069143219603	chr1q
6277A	chr1	q	Loss	124339061	4.803625	1	124.339061	0.00804252494716845	0.0386332738993421	chr1q
6277A	chr10	p	Gain	40649191	17.220213	3	40.649191	0.0738022067893061	0.423629906927299	chr10p
6277A	chr10	p	Loss	40649191	8.409872	2	40.649191	0.0492014711928707	0.206889037471865	chr10p
6277A	chr10	q	Gain	94108943	0.200236	1	94.108943	0.0106259826975211	0.00212770427142084	chr10q
6277A	chr11	p	Loss	52743313	9.809311	1	52.743313	0.01895974945677	0.185982078903538	chr11p
6277A	chr11	q	Gain	82384456	21.220037	3	82.384456	0.0364146362755615	0.257573309702986	chr11q
6277A	chr12	p	Gain	35911664	24.222636	4	35.911664	0.111384423734862	0.674506088049832	chr12p
6277A	chr13	q	Gain	97043744	32.848209	2	97.043744	0.0206092625610158	0.338488681970061	chr13q
6277A	chr13	q	Loss	97043744	48.87174	4	97.043744	0.0412185251220316	0.503605260736849	chr13q
6277A	chr14	q	Loss	89761231	56.490135	1	89.761231	0.0111406671773474	0.629337792838425	chr14q
6277A	chr15	q	Gain	82566565	1.602465	1	82.566565	0.0121114400241793	0.0194081587383464	chr15q
6277A	chr16	q	Gain	59491471	2.202982	1	59.491471	0.01680913218636	0.0370302156421716	chr16q
6277A	chr17	q	Gain	58587218	1.801649	2	58.587218	0.034137138923374	0.030751571102079	chr17q
6277A	chr18	p	Loss	18449624	12.221656	1	18.449624	0.0542016466026625	0.662433879411309	chr18p
6277A	chr18	q	Gain	62092914	2.804971	1	62.092914	0.0161048972512387	0.0451737697477042	chr18q
6277A	chr18	q	Loss	62092914	28.049572	1	62.092914	0.0161048972512387	0.451735475001222	chr18q
6277A	chr19	p	Gain	27792923	3.405935	2	27.792923	0.0719607649760337	0.122546844029324	chr19p
6277A	chr19	q	Loss	33914441	23.040021	1	33.914441	0.0294859644008285	0.679357239000342	chr19q
6277A	chr2	p	Gain	93503283	16.806721	1	93.503283	0.0106948116463462	0.17974471548769	chr2p
6277A	chr2	p	Loss	93503283	0.200081	1	93.503283	0.0106948116463462	0.00213982860901258	chr2p
6277A	chr2	q	Gain	149193469	37.814945	3	149.193469	0.0201081188078012	0.253462468923489	chr2q
6277A	chr2	NA	Gain	NA	68.027201	1	NA	NA	NA	chr2NA
6277A	chr20	p	Gain	28012753	20.003101	1	28.012753	0.0356980265381271	0.714071230342837	chr20p
6277A	chr21	q	Loss	33956153	10.420957	1	33.956153	0.0294497436149496	0.306894511872414	chr21q
6277A	chr3	p	Gain	94076514	65.034427	6	94.076514	0.0637778734020693	0.691292908663686	chr3p
6277A	chr3	q	Loss	107029434	76.240008	3	107.029434	0.0280296726599526	0.712327489277389	chr3q
6277A	chr4	q	Gain	141122471	6.20561	2	141.122471	0.0141720874487806	0.0439732237965136	chr4q
6277A	chr4	NA	Gain	NA	46.441993	1	NA	NA	NA	chr4NA
6277A	chr5	p	Loss	48317879	5.001251	1	48.317879	0.0206962726985595	0.103507254529943	chr5p
6277A	chr5	q	Loss	133727560	42.810644	3	133.72756	0.0224336703668264	0.320133291895852	chr5q
6277A	chr5	NA	Gain	NA	14.203551	1	NA	NA	NA	chr5NA
6277A	chr6	p	Gain	59672548	57.042104	5	59.672548	0.0837906234538535	0.95591869145591	chr6p
6277A	chr6	q	Gain	112454080	13.609999	3	112.45408	0.0266775558521309	0.121027169489982	chr6q
6277A	chr6	q	Loss	112454080	95.06983	5	112.45408	0.0444625930868849	0.845410233225864	chr6q
6277A	chr7	p	Gain	62064435	42.2441	1	62.064435	0.0161122871738057	0.680649070598967	chr7p
6277A	chr7	q	Gain	98502993	38.640278	5	98.502993	0.0507598789409374	0.392275166704833	chr7q
6277A	chr8	p	Gain	45270456	36.61493	1	45.270456	0.0220894616126685	0.808804090685545	chr8p
6277A	chr8	q	Gain	100988875	68.627786	3	100.988875	0.0297062423955114	0.679557881994428	chr8q
6277A	chr9	p	Gain	46267185	39.804579	2	46.267185	0.0432271814245885	0.860319878981183	chr9p
6277A	chr9	p	Loss	46267185	2.000232	2	46.267185	0.0432271814245885	0.0432321957776338	chr9p
6277A	chr9	q	Loss	104350062	9.20106	2	104.350062	0.0191662559817166	0.0881749356315668	chr9q
6277A	chr9	NA	Gain	NA	34.403957	1	NA	NA	NA	chr9NA
6285B	chr10	q	Gain	94108943	1.201411	1	94.108943	0.0106259826975211	0.0127661724986115	chr10q
6285B	chr13	q	Loss	97043744	17.425572	3	97.043744	0.0309138938415237	0.179564094311942	chr13q
6285B	chr14	q	Gain	89761231	1.402241	1	89.761231	0.0111406671773474	0.0156219002834308	chr14q
6285B	chr14	q	Loss	89761231	40.865195	4	89.761231	0.0445626687093897	0.455265536632402	chr14q
6285B	chr15	q	Gain	82566565	2.003081	1	82.566565	0.0121114400241793	0.0242601953950731	chr15q
6285B	chr17	q	Gain	58587218	0.200184	1	58.587218	0.017068569461687	0.00341685450911835	chr17q
6285B	chr18	q	Loss	62092914	17.030095	3	62.092914	0.0483146917537161	0.274267930153834	chr18q
6285B	chr19	p	Loss	27792923	22.238741	2	27.792923	0.0719607649760337	0.800158407231942	chr19p
6285B	chr19	q	Loss	33914441	30.653273	2	33.914441	0.0589719288016571	0.903841316446879	chr19q
6285B	chr19	NA	Loss	NA	7.412914	1	NA	NA	NA	chr19NA
6285B	chr5	p	Gain	48317879	0.800201	1	48.317879	0.0206962726985595	0.01656117810966	chr5p
6285B	chr6	q	Loss	112454080	22.216318	1	112.45408	0.00889251861737698	0.197559021424567	chr6q
6285B	chr9	p	Loss	46267185	37.604325	1	46.267185	0.0216135907122943	0.812764489562095	chr9p
6298B	chr10	q	Gain	94108943	0.400471	1	94.108943	0.0106259826975211	0.00425539791685898	chr10q
6298B	chr12	p	Gain	35911664	33.23105	3	35.911664	0.0835383178011467	0.925355338588599	chr12p
6298B	chr14	q	Gain	89761231	0.801281	1	89.761231	0.0111406671773474	0.00892680493653212	chr14q
6298B	chr15	q	Gain	82566565	1.602465	1	82.566565	0.0121114400241793	0.0194081587383464	chr15q
6298B	chr17	q	Gain	58587218	0.200184	1	58.587218	0.017068569461687	0.00341685450911835	chr17q
6298B	chr20	q	Loss	38197502	0.600094	1	38.197502	0.0261797224331581	0.0157102943538036	chr20q
6298B	chr5	q	Gain	133727560	0.600151	1	133.72756	0.00747789012227547	0.00448786323477374	chr5q
6298B	chr7	q	Gain	98502993	51.253342	1	98.502993	0.0101519757881875	0.520322687047692	chr7q
6314E	chr1	p	Gain	124048267	21.816462	3	124.048267	0.0241841347126599	0.175870751987208	chr1p
6314E	chr1	p	Loss	124048267	1.601209	1	124.048267	0.00806137823755329	0.0129079513863745	chr1p
6314E	chr1	q	Gain	124339061	14.210722	1	124.339061	0.00804252494716845	0.114290086202276	chr1q
6314E	chr10	q	Gain	94108943	27.031729	4	94.108943	0.0425039307900844	0.28723868463808	chr10q
6314E	chr11	p	Gain	52743313	19.218219	5	52.743313	0.09479874728385	0.364372617245337	chr11p
6314E	chr11	p	Loss	52743313	4.003802	2	52.743313	0.03791949891354	0.0759110827945146	chr11p
6314E	chr12	q	Gain	97412884	12.411596	2	97.412884	0.0205311650561542	0.127412263043151	chr12q
6314E	chr12	q	Loss	97412884	5.605238	2	97.412884	0.0205311650561542	0.0575410332785138	chr12q
6314E	chr13	q	Gain	97043744	57.284089	5	97.043744	0.0515231564025395	0.590291415384798	chr13q
