Sample_ID	Patient_ID	Sample_Type	chrom	arm	arm_length	altered_bp	w_mean_seg	frac_altered	n_segments	ArmClass	ArmDir	ArmLabel
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr1	1p	125000000	4889508	0.19847701830695438	0.039116064	35	Segmental	Gain	chr11p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr1	1q	124250621	2394234	0.4438193886746241	0.019269392625409897	41	Segmental	Gain	chr11q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr10	10p	40200000	34732290	-0.2769919103310493	0.8639873134328359	9	Aneuploid	Loss	chr1010p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr10	10q	95334747	80228854	-0.24693600176070069	0.8415489265419669	13	Aneuploid	Loss	chr1010q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr11	11p	53700000	825854	0.9005943967505153	0.01537903165735568	15	Segmental	Gain	chr1111p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr11	11q	81306516	1611650	1.010600100673223	0.019821904556825434	31	Segmental	Gain	chr1111q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr12	12p	35800000	2475370	1.0191549131988349	0.06914441340782122	20	Segmental	Gain	chr1212p
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr12	12q	98051895	8964754	0.8959356978981242	0.09142866642200032	42	Segmental	Gain	chr1212q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr13	13q	97269878	203497	1.1682589705450201	0.002092086514182736	7	Segmental	Gain	chr1313q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr14	14q	89749540	29238133	-0.19209551902681335	0.32577473934685347	30	Segmental	Loss	chr1414q
GLSS-19-0266-R1	GLSS-19-0266	Recurrence	chr15	15q	83531392	2424366	0.9592911870278663	0.029023411940746778	17	Segmental	Gain	chr1515q
