filename	chr	Arm	arm_size.y	type	sv_count	sv_size_sum	chr_arm_length_mb	sv_rate	sv_proportion	region	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
2436A	chr1	p	124048267	DEL	5	0.131346	124.048267	0.0403068911877665	0.00105882978598967	chr1p	5221	1	p	5.221	Negative	Other
2436A	chr1	p	124048267	DUP	4	0.03406	124.048267	0.0322455129502132	0.000274570542771065	chr1p	5221	1	p	5.221	Negative	Other
2436A	chr1	p	124048267	INS	2	0.004139	124.048267	0.0161227564751066	3.33660445252331e-05	chr1p	5221	1	p	5.221	Negative	Other
2436A	chr1	p	124048267	INV	1	0.000834	124.048267	0.00806137823755329	6.72318945011944e-06	chr1p	5221	1	p	5.221	Negative	Other
2436A	chr1	q	124339061	DEL	3	0.061028	124.339061	0.0241275748415054	0.000490819212475796	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	Other
2436A	chr1	q	124339061	DUP	2	0.027273	124.339061	0.0160850498943369	0.000219343782884125	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	Other
2436A	chr1	q	124339061	INS	2	0.001657	124.339061	0.0160850498943369	1.33264638374581e-05	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	Other
2436A	chr10	p	40649191	DEL	4	0.045175	40.649191	0.0984029423857414	0.00111133823056897	chr10p	3611.75	10	p	3.61175	Negative	Other
2436A	chr10	p	40649191	DUP	2	0.014907	40.649191	0.0492014711928707	0.000366723165536062	chr10p	3611.75	10	p	3.61175	Negative	Other
2436A	chr10	p	40649191	INS	3	0.005286	40.649191	0.0738022067893061	0.000130039488362757	chr10p	3611.75	10	p	3.61175	Negative	Other
2436A	chr10	q	94108943	BND	12	94.898402	94.108943	0.127511792370253	1.0083887776744	chr10q	2732.75	10	q	2.73275	Positive	Other
2436A	chr10	q	94108943	DEL	3	0.010679	94.108943	0.0318779480925633	0.000113474869226828	chr10q	2732.75	10	q	2.73275	Positive	Other
