type	chr	Sample_ID	arm.x	arm_size	sv_count	sv_size_sum	chr_length_mb	sv_rate	sv_proportion	chr_arm	final_average_TL_p75	chr_order	arm.y	final_average_TL_p75_kb	direction	TL_group
DEL	chr1	2436A	p	124048267	581	0.201164	124.048267	4.68366075601846	0.00162165909177917	chr1p	5221	1	p	5.221	Negative	Other
DEL	chr1	2436A	q	124339061	551	0.1732	124.339061	4.43143124588982	0.00139296532084958	chr1q	5051.16666666667	1	q	5.05116666666667	Negative	Other
DEL	chr1	3188	p	124048267	330	389.636135	124.048267	2.66025481839259	3.14100425925338	chr1p	1642.5	1	p	1.6425	Negative	Short TL
DEL	chr1	3188	q	124339061	378	82.339694	124.339061	3.04007443002968	0.662219043137216	chr1q	3086.5	1	q	3.0865	Negative	Short TL
DEL	chr1	3988	p	124048267	523	0.25673	124.048267	4.21610081824037	0.00206959763492706	chr1p	2347.5	1	p	2.3475	Negative	Other
DEL	chr1	3988	q	124339061	459	0.194912	124.339061	3.69151895075032	0.0015675846225025	chr1q	5083	1	q	5.083	Negative	Other
DEL	chr1	6265D	p	124048267	394	142.301829	124.048267	3.176183025596	1.14714886746463	chr1p	6548	1	p	6.548	Negative	Other
DEL	chr1	6265D	q	124339061	434	0.283651	124.339061	3.49045582707111	0.00228127024378928	chr1q	3906.33333333333	1	q	3.90633333333333	Negative	Other
DEL	chr1	6266D	p	124048267	668	0.276059	124.048267	5.3850006626856	0.00222541601488072	chr1p	4224	1	p	4.224	Negative	Other
DEL	chr1	6266D	q	124339061	574	0.241008	124.339061	4.61640931967469	0.00193831285246717	chr1q	4338.5	1	q	4.3385	Negative	Other
DEL	chr1	6269C	p	124048267	428	173.190507	124.048267	3.45026988567281	1.39615418408062	chr1p	4019	1	p	4.019	Negative	Short TL
DEL	chr1	6269C	q	124339061	440	0.200076	124.339061	3.53871097675412	0.00160911622132968	chr1q	4756.8	1	q	4.7568	Negative	Short TL
DEL	chr1	6277A	p	124048267	553	0.146649	124.048267	4.45794216536697	0.00118219305715895	chr1p	5311	1	p	5.311	Negative	Other
DEL	chr1	6277A	q	124339061	603	0.238721	124.339061	4.84964254314258	0.001919919597913	chr1q	4704.75	1	q	4.70475	Negative	Other
DEL	chr1	6285B	p	124048267	619	0.222848	124.048267	4.98999312904549	0.00179646201748228	chr1p	3171	1	p	3.171	Negative	Short TL
DEL	chr1	6285B	q	124339061	513	0.177765	124.339061	4.12581529789742	0.0014296794472334	chr1q	3898	1	q	3.898	Negative	Short TL
DEL	chr1	6298B	p	124048267	662	0.225473	124.048267	5.33663239326028	0.00181762313535585	chr1p	4198	1	p	4.198	Negative	Other
DEL	chr1	6298B	q	124339061	566	0.184386	124.339061	4.55206912009734	0.0014829290049086	chr1q	6419.25	1	q	6.41925	Negative	Other
DEL	chr1	6314E	p	124048267	421	0.17132	124.048267	3.39384023800994	0.00138107531965763	chr1p	3903	1	p	3.903	Negative	Other
DEL	chr1	6324B	p	124048267	654	0.225456	124.048267	5.27214136735985	0.00181748609192581	chr1p	8373	1	p	8.373	Negative	Other
DEL	chr1	6324B	q	124339061	560	0.179981	124.339061	4.50381397041433	0.00144750168251633	chr1q	4714	1	q	4.714	Negative	Other
DEL	chr1	6365A	p	124048267	712	0.261397	124.048267	5.73970130513794	0.00210722008716172	chr1p	4965	1	p	4.965	Negative	Other
DEL	chr1	6365A	q	124339061	619	0.22403	124.339061	4.97832294229727	0.00180176686391415	chr1q	4419.25	1	q	4.41925	Negative	Other
DEL	chr1	6414C	p	124048267	624	0.173868	124.048267	5.03030002023325	0.00140161571140692	chr1p	3577.66666666667	1	p	3.57766666666667	Negative	Short TL
DEL	chr1	6414C	q	124339061	468	0.216369	124.339061	3.76390167527484	0.00174015308029389	chr1q	2859	1	q	2.859	Negative	Short TL
DEL	chr1	6423A	p	124048267	549	0.149215	124.048267	4.42569665241676	0.00120287855371651	chr1p	3424.5	1	p	3.4245	Negative	Other
DEL	chr1	6423A	q	124339061	533	0.141741	124.339061	4.28666579684079	0.0011399555285366	chr1q	6019.5	1	q	6.0195	Negative	Other
DEL	chr1	6436B	p	124048267	620	0.176571	124.048267	4.99805450728304	0.00142340561678302	chr1p	10227	1	p	10.227	Negative	Other
DEL	chr1	6436B	q	124339061	561	0.199768	124.339061	4.5118564953615	0.00160663912364595	chr1q	3299.33333333333	1	q	3.29933333333333	Negative	Other
DEL	chr1	6439C	p	124048267	662	0.228019	124.048267	5.33663239326028	0.00183814740434866	chr1p	3435.75	1	p	3.43575	Negative	Other
DEL	chr1	6439C	q	124339061	615	0.274178	124.339061	4.9461528425086	0.00220508340496475	chr1q	3943.5	1	q	3.9435	Negative	Other
DEL	chr1	6478A	p	124048267	604	0.26609	124.048267	4.86907245548219	0.00214505213523056	chr1p	7364.25	1	p	7.36425	Negative	Other
DEL	chr1	6478A	q	124339061	640	0.250452	124.339061	5.14721596618781	0.00201426645806823	chr1q	8899.33333333333	1	q	8.89933333333333	Negative	Other
DEL	chr1	6483C	p	124048267	670	0.239008	124.048267	5.4011234191607	0.00192673388980114	chr1p	7570	1	p	7.57	Negative	Other
DEL	chr1	6483C	q	124339061	600	0.251759	124.339061	4.82551496830107	0.00202477803817418	chr1q	5543	1	q	5.543	Negative	Other
DEL	chr1	6500D	p	124048267	656	0.285121	124.048267	5.28826412383496	0.00229846822446943	chr1p	4352	1	p	4.352	Negative	Other
DEL	chr1	6500D	q	124339061	645	0.266264	124.339061	5.18742859092365	0.00214143486253286	chr1q	5630	1	q	5.63	Negative	Other
DEL	chr1	6605D	p	124048267	662	0.192185	124.048267	5.33663239326028	0.00154927597658418	chr1p	6389	1	p	6.389	Negative	Other
DEL	chr1	6605D	q	124339061	560	0.176237	124.339061	4.50381397041433	0.00141739046911413	chr1q	3099.75	1	q	3.09975	Negative	Other
DEL	chr10	2436A	p	40649191	320	0.090271	40.649191	7.87223539085932	0.00222073300302582	chr10p	3611.75	10	p	3.61175	Negative	Other
DEL	chr10	2436A	q	94108943	469	0.159358	94.108943	4.9835858851374	0.00169333535071157	chr10q	2732.75	10	q	2.73275	Positive	Other
DEL	chr10	3188	p	40649191	210	27.496596	40.649191	5.16615447525143	0.676436487998002	chr10p	2136	10	p	2.136	Negative	Short TL
DEL	chr10	3188	q	94108943	332	0.168082	94.108943	3.52782625557701	0.00178603642376474	chr10q	3496.5	10	q	3.4965	Positive	Short TL
DEL	chr10	3988	p	40649191	315	0.084695	40.649191	7.74923171287714	0.00208355930134009	chr10p	3769.75	10	p	3.76975	Negative	Other
DEL	chr10	3988	q	94108943	394	0.143525	94.108943	4.18663718282332	0.00152509416666172	chr10q	5998.5	10	q	5.9985	Positive	Other
DEL	chr10	6265D	p	40649191	230	0.083002	40.649191	5.65816918718013	0.00204191025597533	chr10p	4818	10	p	4.818	Negative	Other
DEL	chr10	6265D	q	94108943	434	0.216384	94.108943	4.61167649072416	0.00229929264002041	chr10q	4609.75	10	q	4.60975	Positive	Other
DEL	chr10	6266D	p	40649191	321	0.134436	40.649191	7.89683612645575	0.00330722449064238	chr10p	5948	10	p	5.948	Negative	Other
DEL	chr10	6266D	q	94108943	542	0.203669	94.108943	5.75928262205644	0.00216418327002143	chr10q	5216	10	q	5.216	Positive	Other
DEL	chr10	6269C	p	40649191	225	0.149683	40.649191	5.53516550919796	0.00368231190628123	chr10p	3778.5	10	p	3.7785	Negative	Short TL
DEL	chr10	6269C	q	94108943	408	0.230355	94.108943	4.33540094058861	0.00244774824428747	chr10q	6423.5	10	q	6.4235	Positive	Short TL
DEL	chr10	6285B	p	40649191	261	0.07089	40.649191	6.42079199066963	0.0017439461464313	chr10p	4350	10	p	4.35	Negative	Short TL
DEL	chr10	6285B	q	94108943	527	0.157525	94.108943	5.59989288159362	0.00167385792442701	chr10q	3308	10	q	3.308	Positive	Short TL
DEL	chr10	6298B	p	40649191	308	0.078069	40.649191	7.57702656370209	0.00192055482727811	chr10p	4781.5	10	p	4.7815	Negative	Other
DEL	chr10	6298B	q	94108943	551	0.178724	94.108943	5.85491646633413	0.00189911813163176	chr10q	5977	10	q	5.977	Positive	Other
DEL	chr10	6314E	p	40649191	207	0.089393	40.649191	5.09235226846212	0.00219913355717215	chr10p	9573	10	p	9.573	Negative	Other
DEL	chr10	6314E	q	94108943	368	0.219664	94.108943	3.91036163268777	0.00233414586326828	chr10q	4313	10	q	4.313	Positive	Other
